"graph type","size","mutant fitness","number of simulations","fixation probability","absorbtion time","fixation time","mutants","total vertices"
path,1,1.0,5000,1.0,0.0,0.0,[0],1
path,2,1.0,5000,0.5028,1.0,1.0,[0],2
path,3,1.0,5000,0.3476,2.9994,3.911392405063291,[0],3
path,4,1.0,5000,0.2508,6.0142,9.947368421052632,[0],4
path,5,1.0,5000,0.2018,10.06,20.372646184340933,[0],5
path,6,1.0,5000,0.1606,15.0534,34.7546699875467,[0],6
path,7,1.0,5000,0.1366,20.5774,53.29428989751098,[0],7
path,8,1.0,5000,0.1266,27.1556,83.62243285939968,[0],8
path,9,1.0,5000,0.1186,36.2844,119.57504215851603,[0],9
path,10,1.0,5000,0.0976,45.0238,171.45081967213116,[0],10
cycle,1,1.0,5000,1.0,0.0,0.0,[0],1
cycle,2,1.0,5000,0.4946,1.0,1.0,[0],2
cycle,3,1.0,5000,0.3312,1.0,1.0,[0],3
cycle,4,1.0,5000,0.2432,2.002,3.015625,[0],4
cycle,5,1.0,5000,0.1984,3.8548,7.377016129032258,[0],5
cycle,6,1.0,5000,0.1654,6.0852,14.117291414752117,[0],6
cycle,7,1.0,5000,0.146,8.7406,23.28904109589041,[0],7
cycle,8,1.0,5000,0.1258,11.7264,36.22257551669316,[0],8
cycle,9,1.0,5000,0.109,16.2212,56.491743119266054,[0],9
cycle,10,1.0,5000,0.102,19.7322,75.62941176470588,[0],10
